Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,9,14,District-Mathura,Rural,80-89,100,90,105,7,6,70,75,10,3
C4920,9,14,District-Mathura,Rural,90+,29,37,40,4,1,16,26,7,1
C4920,9,14,District-Mathura,Rural,Age Not Stated,97,263,232,29,18,115,72,37,14
C4920,9,14,District-Mathura,Urban,0-4,55,205,146,10,10,32,20,17,11
C4920,9,14,District-Mathura,Urban,5-9,50,242,216,48,43,48,38,34,19
C4920,9,14,District-Mathura,Urban,10-19,190,586,464,90,68,218,124,128,91
C4920,9,14,District-Mathura,Urban,20-29,132,442,377,76,50,317,143,111,54
C4920,9,14,District-Mathura,Urban,30-39,98,366,285,53,42,239,100,97,49
C4920,9,14,District-Mathura,Urban,40-49,108,280,228,35,33,164,62,58,27
C4920,9,14,District-Mathura,Urban,50-59,136,205,146,26,29,129,72,44,16
C4920,9,14,District-Mathura,Urban,60-69,130,156,111,29,16,116,99,28,11
C4920,9,14,District-Mathura,Urban,70-79,87,90,91,6,4,82,84,9,12
C4920,9,14,District-Mathura,Urban,80-89,38,53,46,2,3,38,48,5,2
C4920,9,14,District-Mathura,Urban,90+,6,17,23,0,0,10,12,3,3
C4920,9,14,District-Mathura,Urban,Age Not Stated,27,80,55,10,11,27,21,19,10
C4920,9,15,District-Agra,Rural,0-4,569,1048,934,42,31,104,81,52,47
C4920,9,15,District-Agra,Rural,5-9,719,1251,1055,191,131,215,113,145,80
C4920,9,15,District-Agra,Rural,10-19,1376,2473,2033,426,251,1351,641,495,247
C4920,9,15,District-Agra,Rural,20-29,976,1641,1309,268,165,1519,571,374,126
C4920,9,15,District-Agra,Rural,30-39,686,1233,1014,178,153,846,405,277,135
C4920,9,15,District-Agra,Rural,40-49,585,960,696,126,94,489,239,188,85
C4920,9,15,District-Agra,Rural,50-59,473,678,494,99,61,365,185,102,74
C4920,9,15,District-Agra,Rural,60-69,593,565,513,62,50,353,258,52,30
C4920,9,15,District-Agra,Rural,70-79,399,392,330,38,21,248,208,23,23
C4920,9,15,District-Agra,Rural,80-89,149,178,135,11,7,103,92,17,5
C4920,9,15,District-Agra,Rural,90+,44,54,44,1,7,31,34,4,1
C4920,9,15,District-Agra,Rural,Age Not Stated,10,13,4,2,0,7,2,2,1
C4920,9,15,District-Agra,Urban,0-4,619,871,817,32,30,62,49,60,39
C4920,9,15,District-Agra,Urban,5-9,784,1077,956,178,153,136,90,107,70
C4920,9,15,District-Agra,Urban,10-19,1624,2737,2340,497,367,568,329,334,213
C4920,9,15,District-Agra,Urban,20-29,1255,2115,1896,337,296,608,292,272,158
C4920,9,15,District-Agra,Urban,30-39,940,1543,1382,292,280,395,211,226,150
C4920,9,15,District-Agra,Urban,40-49,857,1374,1101,276,204,318,141,182,147
C4920,9,15,District-Agra,Urban,50-59,645,801,690,171,134,267,170,112,62
C4920,9,15,District-Agra,Urban,60-69,486,549,483,113,77,241,214,64,42
C4920,9,15,District-Agra,Urban,70-79,240,267,239,40,21,132,151,22,14
C4920,9,15,District-Agra,Urban,80-89,80,122,97,12,13,55,52,10,6
C4920,9,15,District-Agra,Urban,90+,49,71,75,7,8,14,21,5,4
C4920,9,15,District-Agra,Urban,Age Not Stated,26,46,32,1,2,0,0,2,2
C4920,9,16,District-Firozabad,Rural,0-4,103,260,251,25,18,63,44,35,27
C4920,9,16,District-Firozabad,Rural,5-9,161,333,262,158,115,155,113,114,64
C4920,9,16,District-Firozabad,Rural,10-19,391,796,633,322,253,1306,627,416,203
C4920,9,16,District-Firozabad,Rural,20-29,252,509,362,211,115,1426,494,333,127
C4920,9,16,District-Firozabad,Rural,30-39,234,390,290,148,118,833,341,255,86
C4920,9,16,District-Firozabad,Rural,40-49,219,327,236,100,74,478,189,179,74
C4920,9,16,District-Firozabad,Rural,50-59,214,212,194,57,66,311,145,83,43
C4920,9,16,District-Firozabad,Rural,60-69,292,263,256,65,46,336,190,42,36
C4920,9,16,District-Firozabad,Rural,70-79,237,189,182,22,19,208,180,23,16
C4920,9,16,District-Firozabad,Rural,80-89,86,82,61,5,3,74,70,3,5
C4920,9,16,District-Firozabad,Rural,90+,31,30,42,3,2,33,27,4,2
C4920,9,16,District-Firozabad,Rural,Age Not Stated,20,25,20,6,3,15,9,5,3
C4920,9,16,District-Firozabad,Urban,0-4,98,260,251,8,7,50,41,33,24
C4920,9,16,District-Firozabad,Urban,5-9,140,365,307,57,45,91,69,53,36
C4920,9,16,District-Firozabad,Urban,10-19,344,857,794,161,80,518,320,191,117
C4920,9,16,District-Firozabad,Urban,20-29,295,565,545,103,74,566,227,179,69
C4920,9,16,District-Firozabad,Urban,30-39,199,422,412,52,38,303,172,92,73
C4920,9,16,District-Firozabad,Urban,40-49,197,334,311,43,22,229,97,87,42
C4920,9,16,District-Firozabad,Urban,50-59,207,251,203,24,27,176,73,39,30
C4920,9,16,District-Firozabad,Urban,60-69,146,172,165,26,18,153,88,31,17
C4920,9,16,District-Firozabad,Urban,70-79,80,85,66,7,7,66,58,11,10
C4920,9,16,District-Firozabad,Urban,80-89,36,41,26,3,1,24,26,5,3
C4920,9,16,District-Firozabad,Urban,90+,11,13,19,1,2,7,14,4,1
C4920,9,16,District-Firozabad,Urban,Age Not Stated,28,110,89,7,9,25,16,8,7
C4920,9,17,District-Mainpuri,Rural,0-4,148,306,288,14,8,54,39,40,34
C4920,9,17,District-Mainpuri,Rural,5-9,210,363,320,130,92,173,92,101,66
C4920,9,17,District-Mainpuri,Rural,10-19,437,918,768,262,153,957,463,372,203
C4920,9,17,District-Mainpuri,Rural,20-29,332,601,419,148,96,1095,395,284,106
C4920,9,17,District-Mainpuri,Rural,30-39,234,417,391,100,84,605,289,218,107
C4920,9,17,District-Mainpuri,Rural,40-49,226,341,303,80,53,450,150,174,71
C4920,9,17,District-Mainpuri,Rural,50-59,208,262,240,49,46,268,113,87,44
C4920,9,17,District-Mainpuri,Rural,60-69,373,270,293,46,40,303,203,47,27
C4920,9,17,District-Mainpuri,Rural,70-79,291,189,185,17,18,181,156,19,13
C4920,9,17,District-Mainpuri,Rural,80-89,126,98,84,5,9,99,59,10,5
C4920,9,17,District-Mainpuri,Rural,90+,30,36,42,3,0,31,32,1,2
C4920,9,17,District-Mainpuri,Rural,Age Not Stated,5,14,11,5,3,9,3,1,2
C4920,9,17,District-Mainpuri,Urban,0-4,13,30,34,1,1,5,10,7,11
C4920,9,17,District-Mainpuri,Urban,5-9,30,50,38,15,10,32,9,14,12
C4920,9,17,District-Mainpuri,Urban,10-19,61,92,65,39,40,145,76,69,39
