Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,6,14,District-Rohtak,Urban,5-9,34,53,37,25,8,23,11,34,19
C4920,6,14,District-Rohtak,Urban,10-19,79,117,105,50,36,91,51,113,81
C4920,6,14,District-Rohtak,Urban,20-29,62,133,111,51,40,189,127,111,96
C4920,6,14,District-Rohtak,Urban,30-39,64,129,84,21,26,216,121,109,57
C4920,6,14,District-Rohtak,Urban,40-49,98,93,83,22,14,154,80,84,47
C4920,6,14,District-Rohtak,Urban,50-59,127,107,86,14,16,152,98,53,32
C4920,6,14,District-Rohtak,Urban,60-69,169,92,106,15,12,156,138,32,25
C4920,6,14,District-Rohtak,Urban,70-79,68,70,83,7,9,107,109,10,14
C4920,6,14,District-Rohtak,Urban,80-89,41,45,54,0,1,34,42,6,3
C4920,6,14,District-Rohtak,Urban,90+,5,13,16,1,1,9,18,1,0
C4920,6,14,District-Rohtak,Urban,Age Not Stated,1,0,1,0,0,0,1,0,2
C4920,6,15,District-Jhajjar,Rural,0-4,47,78,61,10,1,18,11,16,10
C4920,6,15,District-Jhajjar,Rural,5-9,49,95,65,41,33,56,32,59,25
C4920,6,15,District-Jhajjar,Rural,10-19,125,240,183,103,53,217,100,178,110
C4920,6,15,District-Jhajjar,Rural,20-29,104,215,159,85,53,416,178,180,58
C4920,6,15,District-Jhajjar,Rural,30-39,121,175,134,55,28,433,197,161,66
C4920,6,15,District-Jhajjar,Rural,40-49,114,153,113,28,27,317,112,121,31
C4920,6,15,District-Jhajjar,Rural,50-59,108,139,110,43,12,223,131,57,29
C4920,6,15,District-Jhajjar,Rural,60-69,178,157,162,27,16,228,162,43,28
C4920,6,15,District-Jhajjar,Rural,70-79,136,102,130,12,9,117,90,13,14
C4920,6,15,District-Jhajjar,Rural,80-89,71,64,73,4,6,64,67,3,2
C4920,6,15,District-Jhajjar,Rural,90+,16,17,30,1,1,12,20,2,1
C4920,6,15,District-Jhajjar,Rural,Age Not Stated,0,3,5,2,0,2,2,1,0
C4920,6,15,District-Jhajjar,Urban,0-4,18,17,18,2,5,9,5,11,2
C4920,6,15,District-Jhajjar,Urban,5-9,18,17,29,15,10,21,9,14,18
C4920,6,15,District-Jhajjar,Urban,10-19,52,74,42,34,27,58,28,64,29
C4920,6,15,District-Jhajjar,Urban,20-29,46,70,64,17,23,92,55,60,22
C4920,6,15,District-Jhajjar,Urban,30-39,32,69,48,20,7,104,55,52,29
C4920,6,15,District-Jhajjar,Urban,40-49,39,57,41,13,13,82,36,21,16
C4920,6,15,District-Jhajjar,Urban,50-59,46,41,35,10,11,92,47,35,16
C4920,6,15,District-Jhajjar,Urban,60-69,55,47,38,7,6,84,76,17,6
C4920,6,15,District-Jhajjar,Urban,70-79,25,31,32,6,5,40,50,3,5
C4920,6,15,District-Jhajjar,Urban,80-89,15,15,17,0,1,11,17,0,2
C4920,6,15,District-Jhajjar,Urban,90+,3,4,5,0,0,7,6,1,1
C4920,6,15,District-Jhajjar,Urban,Age Not Stated,1,1,0,0,0,0,0,1,0
C4920,6,16,District-Mahendragarh,Rural,0-4,36,40,36,5,4,52,13,22,6
C4920,6,16,District-Mahendragarh,Rural,5-9,72,58,60,51,30,82,45,83,43
C4920,6,16,District-Mahendragarh,Rural,10-19,179,172,140,141,65,291,148,251,151
