Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,1,9,District-Bandipore,Urban,Age Not Stated,0,1,0,0,0,0,1,0,0
C4920,1,10,District-Srinagar,Rural,0-4,2,4,2,0,0,1,2,0,0
C4920,1,10,District-Srinagar,Rural,5-9,4,4,4,1,2,4,3,1,3
C4920,1,10,District-Srinagar,Rural,10-19,2,3,2,5,1,8,6,7,7
C4920,1,10,District-Srinagar,Rural,20-29,0,3,4,1,2,9,2,3,5
C4920,1,10,District-Srinagar,Rural,30-39,4,7,4,1,2,5,4,4,2
C4920,1,10,District-Srinagar,Rural,40-49,4,4,3,0,1,8,2,5,3
C4920,1,10,District-Srinagar,Rural,50-59,0,2,5,0,0,5,2,2,2
C4920,1,10,District-Srinagar,Rural,60-69,6,6,2,1,0,2,2,1,1
C4920,1,10,District-Srinagar,Rural,70-79,3,2,1,0,0,2,1,0,0
C4920,1,10,District-Srinagar,Rural,80-89,4,1,0,0,1,0,2,0,1
C4920,1,10,District-Srinagar,Rural,90+,0,1,1,0,0,0,0,0,0
C4920,1,10,District-Srinagar,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,1,10,District-Srinagar,Urban,0-4,202,237,201,9,10,26,22,69,33
C4920,1,10,District-Srinagar,Urban,5-9,206,221,203,74,62,56,48,101,73
C4920,1,10,District-Srinagar,Urban,10-19,509,474,433,146,115,181,121,289,208
C4920,1,10,District-Srinagar,Urban,20-29,462,655,480,132,104,239,187,341,222
C4920,1,10,District-Srinagar,Urban,30-39,357,567,400,107,90,253,139,351,241
C4920,1,10,District-Srinagar,Urban,40-49,321,509,320,101,67,263,138,314,173
C4920,1,10,District-Srinagar,Urban,50-59,259,357,263,68,56,202,110,196,103
C4920,1,10,District-Srinagar,Urban,60-69,228,286,252,48,33,205,138,103,73
C4920,1,10,District-Srinagar,Urban,70-79,183,227,268,28,11,135,117,51,37
C4920,1,10,District-Srinagar,Urban,80-89,47,96,94,4,3,48,48,15,22
C4920,1,10,District-Srinagar,Urban,90+,15,28,22,0,2,17,8,4,4
C4920,1,10,District-Srinagar,Urban,Age Not Stated,1,7,2,0,0,0,2,3,2
C4920,1,11,District-Ganderbal,Rural,0-4,69,42,52,6,0,39,21,17,15
C4920,1,11,District-Ganderbal,Rural,5-9,87,83,63,30,26,48,51,33,18
C4920,1,11,District-Ganderbal,Rural,10-19,176,151,148,57,48,111,93,100,104
C4920,1,11,District-Ganderbal,Rural,20-29,99,116,77,42,19,91,83,82,70
C4920,1,11,District-Ganderbal,Rural,30-39,94,89,72,38,18,91,66,90,60
C4920,1,11,District-Ganderbal,Rural,40-49,93,73,64,31,18,84,86,66,55
C4920,1,11,District-Ganderbal,Rural,50-59,91,79,45,12,5,74,69,39,33
C4920,1,11,District-Ganderbal,Rural,60-69,91,96,77,10,12,94,58,27,31
C4920,1,11,District-Ganderbal,Rural,70-79,98,65,48,5,3,60,58,8,11
C4920,1,11,District-Ganderbal,Rural,80-89,47,28,29,3,3,24,28,3,4
C4920,1,11,District-Ganderbal,Rural,90+,18,9,4,1,2,9,13,1,1
C4920,1,11,District-Ganderbal,Rural,Age Not Stated,2,4,0,0,0,0,0,0,0
C4920,1,11,District-Ganderbal,Urban,0-4,6,11,4,2,0,4,1,1,1
C4920,1,11,District-Ganderbal,Urban,5-9,1,10,8,3,4,2,4,5,4
C4920,1,11,District-Ganderbal,Urban,10-19,16,16,19,6,11,12,10,8,8
C4920,1,11,District-Ganderbal,Urban,20-29,8,15,13,5,3,19,10,15,12
C4920,1,11,District-Ganderbal,Urban,30-39,16,8,13,9,2,13,9,12,9
C4920,1,11,District-Ganderbal,Urban,40-49,16,10,7,3,6,18,11,5,19
C4920,1,11,District-Ganderbal,Urban,50-59,6,7,8,2,2,8,7,10,5
C4920,1,11,District-Ganderbal,Urban,60-69,10,16,8,1,2,19,22,7,4
C4920,1,11,District-Ganderbal,Urban,70-79,10,12,12,1,0,10,9,6,4
C4920,1,11,District-Ganderbal,Urban,80-89,7,4,8,0,0,0,0,2,2
C4920,1,11,District-Ganderbal,Urban,90+,1,0,3,0,0,1,2,0,0
C4920,1,11,District-Ganderbal,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,1,12,District-Pulwama,Rural,0-4,44,179,143,10,6,36,25,20,16
C4920,1,12,District-Pulwama,Rural,5-9,52,132,116,62,36,72,43,67,51
C4920,1,12,District-Pulwama,Rural,10-19,169,332,255,101,74,199,147,171,133
C4920,1,12,District-Pulwama,Rural,20-29,134,235,226,86,52,258,176,203,140
C4920,1,12,District-Pulwama,Rural,30-39,154,197,192,89,45,293,165,202,170
C4920,1,12,District-Pulwama,Rural,40-49,153,161,175,80,39,280,174,192,172
C4920,1,12,District-Pulwama,Rural,50-59,214,157,178,42,28,243,190,133,149
C4920,1,12,District-Pulwama,Rural,60-69,276,233,262,27,30,223,216,101,125
C4920,1,12,District-Pulwama,Rural,70-79,228,204,187,18,16,185,139,71,77
C4920,1,12,District-Pulwama,Rural,80-89,97,89,52,2,4,70,58,22,23
C4920,1,12,District-Pulwama,Rural,90+,31,28,10,2,0,18,16,10,6
C4920,1,12,District-Pulwama,Rural,Age Not Stated,2,2,4,2,1,2,1,0,0
C4920,1,12,District-Pulwama,Urban,0-4,8,68,53,3,0,2,3,0,2
C4920,1,12,District-Pulwama,Urban,5-9,12,14,11,9,1,5,6,3,3
C4920,1,12,District-Pulwama,Urban,10-19,23,41,28,11,8,16,12,19,10
C4920,1,12,District-Pulwama,Urban,20-29,17,36,30,10,6,31,27,22,11
C4920,1,12,District-Pulwama,Urban,30-39,22,26,13,8,5,27,28,15,11
C4920,1,12,District-Pulwama,Urban,40-49,51,30,30,3,2,45,33,22,17
C4920,1,12,District-Pulwama,Urban,50-59,50,19,21,5,3,21,33,8,11
C4920,1,12,District-Pulwama,Urban,60-69,76,29,27,4,7,35,28,9,13
C4920,1,12,District-Pulwama,Urban,70-79,46,21,23,3,0,17,19,5,4
C4920,1,12,District-Pulwama,Urban,80-89,16,7,11,2,0,6,6,0,0
